Row	2	3	1.5	IVF	IVF	10	11
Xelaev18000194m.g	0.00181818	0.0433333	0	NA	NA	NA	NA
Xelaev18000195m.g	5.78636	1.68333	6.67083	1.84416704513323	5.38420113992065e-10	0.278027564600165	0.221502912848442
Xelaev18000196m.g	0.356364	0.273333	0.981667	0.214976082226158	0.499901438288033	1.25166663041383	4.68889563660868e-08
Xelaev18000199m.g	61.3836	30.1767	38.8667	1.05077329707434	1.09550412588039e-09	-0.813834329066012	0.000550923471374094
Xelaev18000207m.g	0	0	0.0075	NA	NA	NA	NA
Xelaev18000209m.g	0	0	0.0625	NA	NA	NA	NA
Xelaev18000210m.g	0.0345455	0.0133333	0.00833333	NA	NA	NA	NA
Xelaev18000219m.g	6.59182	6.78667	7.17	-0.240804753250038	0.25446411997054	-0.0654499588649575	0.691281908119233
Xelaev18000220m.g	6.43545	3.69667	16.9283	0.678461102205243	0.00100502849976589	0.991140333582502	2.35281957159264e-07
Xelaev18000221m.g	144.838	254.18	141.445	-0.747908526895771	7.12173213456364e-08	-0.171802769810013	0.132318412000834
Xelaev18000222m.g	0.462727	0.416667	0.541667	NA	NA	NA	NA
Xelaev18000225m.g	3.37545	2.29	2.6	0.529735841850463	0.224416466149123	-0.434685050097139	0.0591577414834001
Xelaev18000248m.g	0.00363636	0	0	NA	NA	NA	NA
Xelaev18000255m.g	0.130909	0.01	0.184167	NA	NA	NA	NA
Xelaev18000256m.g	0	0.0166667	0	NA	NA	NA	NA
Xelaev18000257m.g	0.7	0.473333	1.2475	0.561708722108824	0.116095564108078	0.630653093911473	0.00916208669055233
Xelaev18000260m.g	0.872727	0.03	0.843333	NA	NA	NA	NA
Xelaev18000262m.g	0.182727	0.2	0.259167	NA	NA	NA	NA
Xelaev18000278m.g	5.35182	1.72	4.35833	1.67429826763826	2.13031665770881e-09	-0.517435517484634	0.0122339751760739
Xelaev18000279m.g	5.03091	4.76667	6.0775	0.112190652783259	0.624173674063869	0.0890345193850505	0.563717631732567
Xelaev18000280m.g	6.31364	33.6167	7.78167	-2.38728367505579	2.04390292572425e-28	0.0857157332837806	0.653120897217788
Xelaev18000281m.g	0.0390909	0.163333	0.065	NA	NA	NA	NA
Xelaev18000301m.g	0.11	0.493333	0.109167	-2.2305911508446	0.000635185857624167	NA	NA
Xelaev18000303m.g	0.0663636	0.453333	0.0641667	-2.76730075871917	1.65802237338724e-06	NA	NA
Xelaev18000304m.g	35.8409	5.11667	37.9392	2.81986431067103	3.68608946624905e-40	-0.115225708899524	0.326605301160674
Xelaev18000305m.g	7.97455	3.91667	10.9933	0.978617495341412	0.00104241356414285	0.254022853438919	0.263714611799837
Xelaev18000315m.g	0.05	0.1	0.0633333	NA	NA	NA	NA
Xelaev18000317m.g	9.21909	6.87	10.4075	0.425620297511434	0.0182356765220068	-0.0536585494082768	0.662338266261508
Xelaev18000339m.g	0.400909	18.9133	0.525833	-5.70597483598524	2.90326638188887e-35	NA	NA
Xelaev18000340m.g	1.19182	0.87	0.8425	0.629249532601314	0.331384103043518	-0.639342690310769	0.151301235898344
Xelaev18000341m.g	0.282727	194.29	5.9975	-9.22206274759375	2.7500627703918e-293	3.86774851551115	5.00913724133919e-08
Xelaev18000342m.g	1.76455	200.75	94.8067	-6.66954684377752	4.36665192839006e-70	5.39997669629857	5.34824064860644e-13
Xelaev18000343m.g	0.624545	32.74	2.57	-5.54410492013704	2.14183009182955e-109	2.0401749403983	7.88949712335967e-05
Xelaev18000344m.g	0.0354545	0.633333	0.699167	NA	NA	NA	NA
Xelaev18000346m.g	0.0827273	1.50333	0.160833	NA	NA	NA	NA
Xelaev18000350m.g	0.0172727	0	0.0025	NA	NA	NA	NA
Xelaev18000351m.g	0.206364	3.25	0.155833	-3.9769603049516	1.65900758274488e-12	NA	NA
Xelaev18000353m.g	0.315455	0.573333	0.333333	-0.840068079833202	0.000842733195255281	-0.104628757131376	0.568274156436346
Xelaev18000360m.g	0.0172727	0.0133333	0.0233333	NA	NA	NA	NA
Xelaev18000361m.g	4.52091	11.0467	5.40917	-1.22140825582823	6.88776754617218e-08	0.139623307665022	0.506077178866592
Xelaev18000364m.g	0.53	0	0.0075	NA	NA	NA	NA
Xelaev18000367m.g	0.237273	0.01	0.0075	NA	NA	NA	NA
Xelaev18000370m.g	12.8591	14.7767	10.4683	-0.167571851078502	0.513671526913182	-0.540617484315915	0.0061162113349553
Xelaev18000371m.g	0.00363636	0.01	0.0025	NA	NA	NA	NA
Xelaev18000372m.g	0.00363636	0.03	0.000833333	NA	NA	NA	NA
Xelaev18000376m.g	0.0972727	0.383333	0.139167	NA	NA	NA	NA
Xelaev18000382m.g	3.04727	12.6967	3.675	-2.04666263962058	2.01491059304958e-16	0.145689398886593	0.516575534672182
Xelaev18000384m.g	13.6936	5.76667	17.8467	1.25463762877535	1.00480813018142e-11	0.190493374114319	0.102614706781082
Xelaev18000389m.g	0.00181818	0	0.00166667	NA	NA	NA	NA
Xelaev18000390m.g	0.0409091	0.0533333	0.0466667	NA	NA	NA	NA
Xelaev18000392m.g	0.0163636	0	0.0108333	NA	NA	NA	NA
Xelaev18000398m.g	0.0145455	0.01	0.0158333	NA	NA	NA	NA
Xelaev18000399m.g	0.140909	0.22	0.178333	NA	NA	NA	NA
Xelaev18000403m.g	3.88636	0.3	6.0825	3.73558113988643	9.56067649888224e-09	0.475580939087912	0.103288724245861
Xelaev18000406m.g	6.04182	2.04	6.37667	1.56882419217852	8.98145148908394e-17	-0.0892495824841884	0.505438645885029
Xelaev18000428m.g	0.210909	0.06	0.2825	NA	NA	NA	NA
Xelaev18000429m.g	105.864	102.867	111.862	0.0756356206381027	0.561372600902906	-0.0606589915248743	0.607866499131262
Xelaev18000430m.g	2.15909	6	0.885	-1.74022933103733	0.000390552868962116	-1.16081152185159	0.0046413988882338
Xelaev18000433m.g	0.509091	1.38	0.589167	-1.6477434016691	0.00874780163148596	0.0690868585299255	0.875450693325823
